qna_no,q_title,q_content,a_content,q_date,manager,a_date
2526,스포티지 볼드,<p>스포티지 볼드 1.6 럭셔리<br></p>,"<p>안녕하세여 신현식 고객님.</p><p>문의주신 스포티지 차량?127구4791 /?<span style=""background-color: rgb(249, 249, 249); color: rgb(51, 51, 51); text-align: center; white-space: nowrap; letter-spacing: 0px;"">221조6721 두가지 차량 확인하여 차량 담당 매니저님 연락드리겠습니다.</span></p><p><span style=""background-color: rgb(249, 249, 249); color: rgb(51, 51, 51); text-align: center; white-space: nowrap; letter-spacing: 0px;"">감사합니다.</span></p>",오후 12:34:33,kimjr1201,오후 12:48:32
2525,스포티지,<p>스포티지 4세대 2.0 <br></p>,"<p style=""letter-spacing: normal;"">안녕하세여 신현식 고객님.</p><p style=""letter-spacing: normal;"">문의주신 스포티지 차량&nbsp;127구4791 /&nbsp;<span style=""color: rgb(51, 51, 51); background-color: rgb(249, 249, 249); text-align: center; white-space: nowrap; letter-spacing: 0px;"">221조6721 두가지 차량 확인하여 차량 담당 매니저님 연락드리겠습니다.</span></p><p style=""letter-spacing: normal;""><span style=""color: rgb(51, 51, 51); background-color: rgb(249, 249, 249); text-align: center; white-space: nowrap; letter-spacing: 0px;"">감사합니다.</span></p>",오후 12:33:56,kimjr1201,오후 12:48:23
2521,문자 test2,문자 test2,<p>문자 test2<br></p>,오전 10:41:36,kimjr1201,오전 10:42:15
2520,문자 test,문자 test,"<p><span style=""color: rgb(51, 51, 51);"">test</span><br></p>",오전 10:38:33,kimjr1201,오전 10:38:57
2518,자차보험가입은 어떻게 되어있나요?,"자차보험가입은 어떻게 되어있나요, 12개월 월 렌트료 307,910원에 포함되어 있나요? 아니면 추가로 자차보험가입을 위한 비용이 발생하나요?","<p>안녕하세요 김재윤 고객님.</p><p>문의주신 아반떼AD 59하6319 차량은 장기렌트 전용차량으로 확인됩니다.</p><p>월 렌트료 적용기준 안내드리겠습니다.</p><p>[연간 약정 주행거리 3만km /&nbsp;<span style=""letter-spacing: 0px;"">정비불포함 /&nbsp;</span><span style=""letter-spacing: 0px;"">보험 대물한도 1억원 / 보험연령 만 26세 이상]</span></p><p><span style=""letter-spacing: 0px;"">렌트 비용에 보험료 포함되어있으니 위 부분 참고하여 렌트진행해주시면 되십니다.</span></p><p><span style=""letter-spacing: 0px;"">감사합니다.</span></p>",오전 10:16:06,kimjr1201,오전 10:25:56
2496,test,<p>test</p>,<p>답변 test</p>,오전 10:13:25,leejh1202,오전 10:15:35
2492,차량문의 드립니다,"아는분 소개로 오토플러스 홈페이지를 보고 문의를 드립니다
제가 찾고 있는 차량은 아래와 같습니다

 - 아 래 -
1) 차량 : K5 또는 그랜져, 색상(검정색),
2) 년식 : 2016년 ~ (  ~ 100.000 KM 정도 )
3) 가격 : 35만~45만원 (월)
4) 렌트기간 : 12개월 ( 2021..2.1~2022. 1.31 )
5) 유종 : 휘발류 또는 디젤
6) 옵션 : 스마트키, 앞좌석 열선, 가죽시트, 네비게이션, 후방카메라(센서포함)  
7) 기타 : 실내가 청결하면 좋을듯 합니다

상기  1항~6항에 대하여 답변과 담당자 ( 성명, 전화번호)를  주시면  전화드리겠습니다","<p>안녕하세요 최명진 고객님.</p><p>문의주신 내용으로 렌터카담당매니저 통하여 이메일발송 드리겠습니다.</p><p>메일 확인 후, 담당자에게 추가문의주시면 되십니다.</p><p>감사합니다.</p>",오전 8:22:32,kimjr1201,오전 9:12:00
2482,케어서비스 신청합니다,"안녕하세요. 
찾아가는 케어서비스 신청합니다.
1. 차량번호 232모2241
2. 주소 : 경남 사천시 반룡1로 52 사천kcc스위첸 102동 704호
3. 방문요청일자 1월 27일 오후 1시
엔진오일 교체 부탁드립니다~","<p>안녕하세요 서희원 고객님.</p><p>요청주신 27일 수요일 오후 1시경으로 찾아가는 케어 서비스 신청접수 도와드리겠습니다.</p><p>엔진오일 교체포함으로 신청드리며, 찾아가는 케어 서비스 담당자 방문조율건으로 연락갈 수 있는점 안내드립니다.</p><p>오늘도 즐거운 한주 시작되세요.</p><p>감사합니다.</p>",오후 1:34:06,kimjr1201,오후 1:40:54
2470,찾아가는 케어 서비스 신청 관련,<p>안녕하세요 작년 10월에 리본카에서 차량 구매했는데.. 찾아가는 케어 서비스를 신청하려고 하거든요 혹시 신청 절차가 어떻게 되는지요?? 홈페이지에서 어떻게 신청하는지 잘 모르겠어서요~</p>,"<p>안녕하세요 서희원 고객님.</p><p>찾아가는 케어 서비스 신청할 차량번호와 고객님 주소, 방문요청하시는 일자 및 시간 알려주시면 확인하여 안내드리겠습니다.</p><p>답변 확인 후 회신부탁드립니다.</p><p>감사합니다.</p>",오후 3:36:56,kimjr1201,오전 9:43:55
2460,현금영수증,차량구매후   오늘보니  현금영수증   발급 등록이 안된거 같아요  국세청자료에 없습니더ㆍ   어떻하죠  필요한데?  01043393819,"<p>안녕하세요 고객님, 오토플러스 고객센터 입니다.&nbsp;</p><p>구매하신 02거5194 차량에 대한 현금영수증 정상 발급 확인되어 유선으로 안내드렸습니다.&nbsp;</p><p>현금영수증 승인번호 116705731 / 116483846 사진 문자로 보내드렸으니 참고 부탁드립니다.&nbsp;</p><p><br></p><p>감사합니다.&nbsp;</p>",오후 12:24:35,hanmh1028,오후 1:23:30
2451,리본카 주문 시 선납금 문의,"리본카로  차량  구매 시 100%  완납으로 살 수 있나요?
할부 구매 시 선납금 비율 조절이 되나요?",<p>안녕하세요 이시우 고객님.</p><p>리본카 구매 및 선납금 관련하여 차량담당 매니저님 전화상담 도와드리겠습니다.</p><p>궁금하신 점 편하게 문의주시면 되십니다.</p><p>오늘도 즐거운 하루 보내세요.</p><p>감사합니다.</p>,오후 11:07:42,kimjr1201,오전 9:05:15
2388,월리스료 확인 부탁합니다,<p>선수 10%&nbsp; / 48개월</p><p>선수 20% / 48개월&nbsp; 월리스료 견적금액 기준으로 확인하면 됩니까?<br></p>,<p>안녕하세요 배영현 고객님.</p><p>리스금액의 경우 개인의 신용도에 따라 달라질수 있습니다.</p><p>자세한 상담관련하여 차량담담매니저 통하여 안내드리겠습니다^^</p><p>감사합니다.</p>,오전 11:35:29,kimjr1201,오전 11:37:50
2380,57구4050 EQ900 리스 관련,"선수율 30%, 24개월로 리스 진행 관련 상담하고 싶습니다.","<p>안녕하세요 김명순 고객님.</p><p>오늘 10시경에 EQ900&nbsp;<span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">57구4050 리스상담으로 차량담당 매니저 통하여 연락드리겠습니다.</span></p><p><span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">감사합니다.<br></span><span style=""letter-spacing: 0px;"">&nbsp;&nbsp;</span></p>",오후 1:38:02,kimjr1201,오전 8:55:35
2334,모닝사고싶어요,ㅁ닝사고시퍼요,"<p><span style=""font-size: 12px;"">안녕하세요 조승혜고객님, 오토플러스 고객센터입니다.</span></p><p><span style=""font-size: 12px;"">문의주신 모닝차량 확인하실 수 있도록 홈페이지 링크 첨부드리겠습니다.</span></p><p><span style=""font-size: 12px;"">https://m.autoplus.co.kr/acar/ACMN020001?productId=C20120700013</span></p><p><span style=""font-size: 12px;"">통화 편하신 시간대 회신주시면 차량담당매니저를 통하여 상담안내 도와드리겠습니다^^</span></p>",오후 5:50:31,kimjr1201,오후 5:59:08
2257,실내 상태 및 외관 상태 궁금합니다,"실내 상태 및 외관 상태 궁금합니다
실냄 담배 냄새 및 시트 상태가 궁금합니다 앞자리 뒷자리 궁금합니다",<p>안녕하세요 장일웅 고객님.</p><p>해당 차량 관련하여 차량담당 매니저님을 통한 안내드릴수 있도록 하겠습니다.</p><p>문자드린 후 연락드릴 예정이오니 조금의 시간 양해부탁드립니다.</p><p>감사합니다.</p>,오후 5:17:47,kimjr1201,오후 5:29:04
2256,390노9953 차량 문의드립니다.,"안녕하세요.
차량이 언제 등록되었나요?
차량최초등록 도시나 주로 사용된 도시가 어디일까요?","<p>안녕하세요 윤윤광 고객님.</p><p>문의주신 차량은 최초 등록&nbsp;<span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">2018년 07월인 차량입니다.&nbsp;</span></p><p><span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">최초 등록 도시는 확인되지 않으며, 현재 위치는 오토플러스 광주지점에 위치한점 안내드립니다.</span></p><p><span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">홈페이지 링크 첨부드리오니 확인부탁드리며, 홈페이지에 기재된 차량매니저님 연락주시면 자세한 상담도 가능하십니다.</span></p><p><a href=""https://m.autoplus.co.kr/acar/ACMN020001?productId=C20082500053"" target=""_blank"">https://m.autoplus.co.kr/acar/ACMN020001?productId=C20082500053</a><a href=""https://m.autoplus.co.kr/acar/ACMN020001?productId=C20082500053""></a></p><p><span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">해당문의 외 궁금한게 있다면 언제든지 문의주세요, 감사합니다.</span></p>",오후 5:16:34,kimjr1201,오후 5:22:01
2253,전차주  장기렌트 인가요 개인렌트린가요?,"전차주  장기렌트 인가요 개인렌트린가요?
할인가능할까요??","<p>안녕하세요 장일웅 고객님.</p><p>문의주신 차량은 신차장리렌트 이력이 있는 차량으로, 개인렌트는 아닌점 안내드립니다.</p><p>오토플러스의 경우 가격 정찰제 운영하여, 연말할인차량 외 별도의 할인은 어려운점 양해부탁드립니다.</p><p>차량 링크 첨부드리며, 홈페이지에 기재된 차량담당매니저님께 연락주시면 보다 자세한 상담 가능한점 안내드립니다.</p><p><a href=""https://m.autoplus.co.kr/acar/ACMN020001?productId=C20102100005"" target=""_blank"">https://m.autoplus.co.kr/acar/ACMN020001?productId=C20102100005</a><a href=""https://m.autoplus.co.kr/acar/ACMN020001?productId=C20102100005""></a></p><p>혹시 추가로 궁금하신 사항이 있다면 언제든 문의주세요. 감사합니다.<br><br></p>",오후 4:55:22,kimjr1201,오후 5:12:55
2241,차량 구매 후  등록하려고 하는데,"구매차량으로  등록하고 싶은데 
방법을 몰라서요 331두6294 구매했습니다.",<p>안녕하세요 고영빈 고객님.</p><p>홈페이지 인증 후 구매차량 등록절차 도와드렸습니다.</p><p>감사합니다.</p>,오전 2:03:29,kimjr1201,오전 11:05:05
2240,차량 구매 문의사항 입니다.,"<p>경남 창원시 진해구에 거주중입니다.</p><p>문의사항 있습니다.</p><p>1. 차량구매 시 카드결제가 가능한지요?</p><p>2. 배송 가능하다고 되어있는데 비용은 얼마나 드는지요?&nbsp;<span style=""font-family: inherit; font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; font-weight: inherit;"">(창원시 진해구 기준)</span></p><p>3. 케어서비스는 지역에 따라 지원이 달라지는건 아닌지요?&nbsp;<span style=""font-family: inherit; font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; font-weight: inherit;"">(창원시 진해구 기준)</span></p>","<p><span style=""font-size: 12px;"">안녕하세요 고객님, 오토플러스 리본카 고객센터 입니다.&nbsp;</span></p><p><span style=""font-size: 12px;"">1. 홈페이지에서 온라인 구매시에 카드 결제 및 현금+카드 복합결제가 모두 가능합니다.(KB, 롯데, 삼성카드에 한함 / 취등록세 제외)&nbsp;</span></p><p><span style=""font-size: 12px;"">2. 경남 창원시까지 예상 배송비는 140,000원~150,000원입니다. 실 도착지까지의 거리에 따라 약간 차이가 있을 수 있습니다.&nbsp;</span></p><p><span style=""font-size: 12px;"">3. 리본카 구매고객님께는 제주 및 도서산간 지역을 제외하고 찾아가는 케어서비스가 모두 동일하게 적용됩니다.&nbsp;</span></p><p><span style=""font-size: 12px;""><br></span></p><p>해당 내용을 문자로도 발송드렸습니다. </p><p>궁금하신 점은 언제든 남겨주세요. 감사합니다.&nbsp;</p>",오후 12:06:59,hanmh1028,오전 10:48:32
2234,준비중인 차량 판매 시작시 알람 기능 추가 문의,"안녕하세요 !
믿고 찾는 리본카 덕분에 중고차 보는 눈이 높아지고 좋습니다 ^^ 혹시 준비중인 차량이 판매가 시작되기 전에 찜 기능이 있어서 미리 설정해 놓고 판매 시작되면 앱알림이나 문자로 알려주시는 기능이 추가된다면 좋을 것 같아서 문의 드립니다. 당장 아니더라도 한번 검토해 주시면 감사하겠습니다. 수고하세요 ~","<p>안녕하세요 고객님, 오토플러스 리본카 고객센터 입니다.&nbsp;</p><p>저희 리본카를 믿고 관심 가져주셔서 진심으로 감사드립니다. ^^</p><p>말씀해주신 의견은 담당부서로 전달하여 적극 반영될 수 있도록 하겠습니다.&nbsp;</p><p>귀한 시간 내시어 저희 리본카를 위한 의견을 주셔서 정말 감사드립니다.&nbsp;</p><p><br></p><p>앞으로도 고객님의 의견에 귀기울여 더욱 발전해나가는 리본카가 되겠습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오후 9:59:10,hanmh1028,오후 12:32:34
2197,랜트,랜트 가능한가요?,<p>안녕하세요 강경호 고객님.</p><p>리본쇼 방송차량 관련하여 문자로 링크발송도와드렸습니다.</p><p>감사합니다.</p>,오후 10:51:39,kimjr1201,오전 11:00:37
2131,상담,구입문의,"<p style=""letter-spacing: normal;"">안녕하세요 고객님.</p><p style=""letter-spacing: normal;"">문의주신 차량 상담 관련하여 담당매니저 연락드리겠습니다.</p><p style=""letter-spacing: normal;"">감사합니다.</p>",오전 9:50:42,kimjr1201,오전 10:10:03
2129,상담,구입문의,"<p style=""letter-spacing: normal;"">안녕하세요 고객님.</p><p style=""letter-spacing: normal;"">문의주신 차량 상담 관련하여 담당매니저 연락드리겠습니다.</p><p style=""letter-spacing: normal;"">감사합니다.</p>",오전 9:45:43,kimjr1201,오전 10:09:56
2119,구입문의,구입문의,"<p style=""letter-spacing: normal;"">안녕하세요 고객님.</p><p style=""letter-spacing: normal;"">문의주신 차량 상담 관련하여 담당매니저 연락드리겠습니다.</p><p style=""letter-spacing: normal;"">감사합니다.</p>",오전 9:10:22,kimjr1201,오전 10:09:49
2118,상담,상담문의,<p>안녕하세요 고객님.</p><p> 문의주신 싼타페 할부정보 및 카니발 올뉴쏘렌토 ~2천만원 차량 상담 관련하여 담당매니저 연락드리겠습니다.</p><p>감사합니다.</p>,오후 10:32:18,kimjr1201,오전 9:10:23
2115,베뉴 구매,"차 사고 싶습니다.
1.  선수금 없이 올 할부 진행
2. 세종으로 탁송필요
입니다.",<p>안녕하세요 김솔비 고객님.</p><p>차량 구매상담관련하여 금일 차량담당매니저 연락드릴수 있도록 하겠습니다~!</p><p>추운날씨 감기조심하시고 오늘도 즐거운 하루 보내세요^^</p>,오후 7:18:31,kimjr1201,오전 9:23:15
2113,테스트,테스트,<p>테스트</p>,오후 4:28:29,kimjr1201,오후 4:29:08
2105,안녕하세요,"이벤트 문의하고 싶은데요
11월 10일자인가..유튜브 방송 보면서 질문하기 이벤트  있었는데
계속 발표를 안 하시네요.. 계속 기다렸거든요 .
2번이나  채택해서 읽어주셨는데..
그뒤로 질문하기 이벤트가 없어진 것 같은데 확인 부탁 드립니다!!","<p style=""letter-spacing: normal;"">안녕하세요 엄혜원 고객님, 오토플러스 리본카 고객센터 입니다.&nbsp;</p><p style=""letter-spacing: normal;"">참여해주셨던 리본쇼 질문채택 이벤트의 결과 안내가 늦어진 점 진심으로 사과드립니다.&nbsp;</p><p style=""letter-spacing: normal;"">담당부서 통해 해당 내용 확인하였고, 오늘 오전 고객님께 기프티콘을 발송드렸습니다.&nbsp;</p><p style=""letter-spacing: normal;"">혹시 스팸차단 등으로 수신하지 못하셨을 경우, 기프티쇼 비즈 모바일고객센터로 접속하시면 재수신이 가능합니다.&nbsp;</p><p style=""letter-spacing: normal;"">☞1588-6474 발신 &gt;1번 누르면 url 문자 수신 &gt;링크 연결 후 휴대폰 인증하면 선물함에서 확인 가능 합니다.&nbsp;</p><p style=""letter-spacing: normal;""><br></p><p style=""letter-spacing: normal;"">앞으로는 더욱 신속하고 정확하게 안내 드릴 수 있도록 노력하겠습니다. 저희 리본쇼에도 많은 관심과 애정 부탁드립니다.&nbsp;</p><p style=""letter-spacing: normal;"">감사합니다.&nbsp;</p><p style=""letter-spacing: normal;""><br></p>",오전 11:22:34,hanmh1028,오후 4:46:37
2034,차량  상담,팔까해서요^^,"<p>안녕하세요 조수아 고객님~</p><p>차량 매입관련하여 담당매니저 통하여 전화연락드리겠습니다.</p><p>오늘도 즐거운 하루 보내세요, 감사합니다.</p>",오후 6:18:14,kimjr1201,오전 9:04:53
2008,구매 상담 요청드려요,",","<p>안녕하세요 박준범 고객님.</p><p>SM6 2.0 GDe SE / 차량번호 16더3204 구매관련하여 해당차량 담당매니저 통하여 연락드리겠습니다.</p><p>오늘도 즐거운 하루 보내세요, 감사합니다.</p>",오후 7:59:43,kimjr1201,오전 9:57:13
2001,렌터카 이력이 있는데,장기렌트 차 인가요?,"<p>안녕하세요 박준범 고객님!</p><p><br></p><p>문의주신 차량번호&nbsp;&nbsp;116더3204 는 신차 장기렌트 1회 이력이 있는것으로 확인됩니다.</p><p><br></p><p>혹시 이 외에 다른 궁금한 문의가 있다면 홈페이지 또는 카카오채널 추가하여 문의 주시기 바랍니다.</p><p><br></p><p>오늘도 행복한 하루되세요, 감사합니다~</p>",오후 3:13:16,kimjr1201,오후 3:41:43
1990,12마 4654 k5 하이브리드 차량 구매 문의합니다.,12마 4654 k5 하이브리드 차량 구매 문의합니다.,"<p style=""letter-spacing: normal;"">안녕하세요 고객님, 오토플러스 고객센터입니다.</p><p style=""letter-spacing: normal;""><br></p><p style=""letter-spacing: normal;"">문의주신 차량, 해당 지점 매니저에게 전달드렸으며, 빠른 상담 받으실 수 있도록 진행드리겠습니다.</p><p style=""letter-spacing: normal;""><br></p><p style=""letter-spacing: normal;"">감사합니다.</p>",오전 10:04:29,kimjr1201,오전 10:40:40
1982,51주5704 k5하이브리드 차량 구매 문의 드립니다.,"51주5704 k5하이브리드 차량 구매 문의 드립니다. 
계약시 전액 할부 예정입니다.",<p>안녕하세요 고객님. 오토플러스 고객센터 입니다.&nbsp;</p><p>문의주신 내용은 상세한 상담을 위해 담당지점 매니저에게 전달하였습니다.&nbsp;</p><p>빠른 상담 진행드리도록 하겠습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>,오전 1:04:27,hanmh1028,오전 9:06:19
1962,오토플러스로중고차구입,중고차구입하고싶은데선수금없이 사고싶어요,"<p>안녕하세요 김명숙 고객님, 오토플러스 고객센터 입니다.&nbsp;</p><p>문의주신 내용은 문자로 안내 드렸습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오전 9:44:51,hanmh1028,오전 11:18:00
1961,GV80 옵션,안녕하세요? GV80 차량 관심있어서 연락 드립니다. 혹시 차량에 파퓰러 패키지 옵션 사양 설치 되어 있나요?,"<p>안녕하세요 고객님, 리본카 고객센터 입니다.&nbsp;</p><p>문의주신 내용은 상세한 상담을 위해 담당매니저에게 전달하였습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오후 6:48:36,hanmh1028,오전 9:15:50
1935,온라인 상담 테스트,온라인 상담 테스트,<p>온라인 답변 테스트ㅎㅎ</p>,오전 9:15:06,hanmh1028,오전 9:23:28
1931,K7 중고차 구입 건,"K7 구입을 위해 사이트를 보고 있습니다. 
본 K7 차량에 대해 3000만원으로 G추어 줄수 있나요??",<p>안녕하세요 고객님. 오토플러스 고객센터 입니다.&nbsp;</p><p>문의주신 내용은 이메일을 통해 안내드렸습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>,오후 1:52:49,hanmh1028,오전 9:19:14
1908,현금 완납시 더 싸게 가능한가요?,궁금합니다,"<p>안녕하세요 고객님, 오토플러스 고객센터 입니다.&nbsp;</p><p>문의주신 내용은 문자로 안내드렸습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오후 4:18:23,hanmh1028,오후 5:14:50
1895,어떻게 신청하면 되나요?,"구입한지 약 한달정도 되었고, 엔진요일 교환 서비스를 받고 싶습니다.
1. 어떻게 신청을 하면 되는지?
2. 가까운 제휴 정비처에서 해주시는건지?, 출장으로 나와서 해주시는건지?
3. 주말에도 진행이 가능한지 궁금합니다.

차량번호: 232모2237/ 싼타페 더프라임","<p>안녕하세요 고객님, 리본카 고객센터 입니다.&nbsp;</p><p>문의주신 내용은 문자로 안내드렸으며, 서비스 담당자에게 전달하였습니다.&nbsp;</p><p>금일 중 담당자가 연락드려 일정 조율 후 방문드리겠습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오전 11:05:47,hanmh1028,오전 9:43:51
1875,대차 문의,기존차와 대차도 가능한가요?? qm6 19년식 시그니처 입니다.,"<p>안녕하세요 고객님, 리본카 입니다.&nbsp;</p><p>문의주신 내용은 상세한 상담을 위해 차량 담당매니저에게 전달하였습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오후 9:05:41,hanmh1028,오후 1:20:01
1870,"11번가 그랜저, k9 이벤트 문의","11번가 그랜저, k9 이벤트 당첨자 확인은 어디서 하나요?",<p>안녕하세요 고객님. 오토플러스 고객센터 입니다.&nbsp;</p><p>당첨자 발표 일정 및 경로는 문자를 통해 안내드렸습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>,오후 8:54:47,hanmh1028,오전 9:03:29
1864,리스 신청하고 싶은데요????,"혹시 리스 선입금 없이 신청하고 싶은데 신용 상관이 있는건가요???? 신불자도 가능한지도 알고 싶은데..... 
문자로 답장 부탁 드려요","<p>안녕하세요 고객님, 리본카 고객센터 입니다.&nbsp;</p><p>문의주신 내용은 문자로 안내드렸습니다.&nbsp;</p><p>감사합니다.&nbsp;</p><p><br></p>",오후 2:16:15,hanmh1028,오후 4:31:16
1863,K5 문의,"2016년식 K5 2.0  차량 문의 
1. 무사고 차량이라고 적혀 있는데 다른 차와 비교해서  검수과정에서 15부분에  문제가 있는데 왜 이렇게 많은지요?  
2. 선택형 주문에서  이  차가 반드시 해야 되는것은 뭐가 있는지 궁금합니다.
3.  선택형 주문에서 몇 가지 클릭 했을때  과정이 3~5일 정도  걸리는데  빨리 받을 수는 없나요?","<p>안녕하세요 고객님, 오토플러스 입니다.&nbsp;</p><p>문의주신 내용은 상세한 상담을 위해 차량 담당매니저에게 전달하였습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오후 12:24:36,hanmh1028,오후 4:05:55
1858,차량구매 문의 드립니다!,차량구매 문의 드립니다!!,"<p>안녕하세요 고객님, 오토플러스 입니다.&nbsp;</p><p>문의주신 내용은 상세 상담을 위해 차량 담당매니저에게 전달하였습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오후 10:08:40,hanmh1028,오전 9:13:26
1856,그런저hg 모던 문의드립니다,연락부탁드립니다,"<p style=""letter-spacing: normal;"">안녕하세요 고객님, 오토플러스 입니다.&nbsp;</p><p style=""letter-spacing: normal;"">문의주신 내용은 담당부서로 전달하였으며</p><p style=""letter-spacing: normal;"">렌터카 상세 상담을 위해 연락드리겠습니다.&nbsp;</p><p style=""letter-spacing: normal;"">감사합니다.&nbsp;</p>",오전 7:11:09,hanmh1028,오전 9:13:34
1855,그런저hg 모던 문의드립니다,연락부탁드립니다,"<p>안녕하세요 고객님, 오토플러스 입니다.&nbsp;</p><p>문의주신 내용은 담당부서로 전달하였으며</p><p>렌터카 상세 상담을 위해 연락드리겠습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오전 7:11:08,hanmh1028,오전 9:06:42
1762,그랜저hg디젤 차량 계약 관련,계약 하고 싶습니다 어떻게 해야 하는가요?,<p>안녕하세요 고객님.&nbsp;</p><p>문의주신 내용은 담당부서로 전달하여 내일 오전에 연락드릴 예정입니다.&nbsp;</p><p>감사합니다.&nbsp;</p>,오후 3:37:11,hanmh1028,오후 5:29:23
1739,문의,할부,<p>안녕하세요 고객님.</p><p>문의주신 내용은 상세 상담을 위해 차량 담당매니저에게 전달하였습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>,오후 6:45:24,hanmh1028,오전 9:50:24
1736,차량상담,차량 문의,"<p>안녕하세요 고객님,</p><p>문의주신 내용은 상세한 상담을 위해 차량 담당매니저에게 전달하였습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오후 7:56:18,hanmh1028,오후 1:15:02
1721,k7 하이브리드,문의,<p>안녕하세요 고객님.</p><p>문의주신 내용은 유선으로 안내 드렸습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>,오전 1:12:16,hanmh1028,오전 9:49:46
1696,중고차 매입도 하나요?,"<p>여기에 중고차 매물도 내놓고 거래할 수 있나요?</p><p>가능하다면 제 차량에 대한 인수가격은 얼마인지 개략적인 견적 가능할까요?</p><p>차종 : 그렌저 더 럭셔리 Q270</p><p>색상 : 블랙</p><p>연식 : 2010년 1월</p><p>주행거리 : 8만Km 대</p><p>기타 : 무사고, 내외관 깨끗(외부 일부 문콕 등 있는 정도)</p><p>[첨부파일은 무시하세요. 첨부를 안하니 등록이 안되어서 그냥 첨부한겁니다]</p>","<p>안녕하세요 고객님,&nbsp;</p><p>오토플러스 고객센터 입니다.&nbsp;</p><p><br></p><p>문의주신 차량의 현재 기준 예상 매입가는 400만원입니다.</p><p>(2.7 럭셔리 기준/ 완전 무사고,무외판 기준 금액이며 실제 상태에 따라서 금액은 달라질 수 있습니다.)</p><p><br></p><p>감사합니다.&nbsp;</p>",오후 12:54:06,hanmh1028,오후 2:06:53
1678,환불,환불이 너무 오래걸리네요..,"<p>안녕하세요 고객님, 오토플러스 고객센터 입니다.&nbsp;</p><p>먼저 환불 처리 지연으로 불편을 드려 대단히 죄송합니다.&nbsp;</p><p>담당자를 통해 11월 2일 오후에 환불이 완료된 것으로 확인되었습니다.&nbsp;</p><p>지연된 점 다시 한 번 사과드리며, 혹시라도 확인이 안되실 경우 다시 한 번 문의부탁드립니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오후 5:27:49,hanmh1028,오후 1:21:41
1635,비슷한 컨디션과 옵션에 제세공과금 포함 950만원 안으로 들어오는 차량 있으면 연락부탁드립니다~~,"비슷한 컨디션과 옵션에 제세공과금 포함 950만원 안으로 들어오는 차량 있으면 연락부탁드립니다~~

일시불 구입 예정이며, 제반비용 포함 900-950만원 선으로 들어왔으면 좋겠고

연식은 조금 더 있어도 괜찮습니다~~","<p>안녕하세요 고객님, 오토플러스 고객센터 입니다.&nbsp;</p><p>현재 LPG 모닝 차량으로 비슷한 옵션이 장착된 차량은 확인중에 있습니다.&nbsp;</p><p>조건에 부합하는 차량 확인시 다시 한 번 연락드리겠습니다.&nbsp;</p><p>가솔린 차량도 관계없으시다면 홈페이지나 카카오톡 채팅을 통해 다시 한 번 문의부탁드립니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오후 9:27:01,hanmh1028,오후 3:08:43
1634,구매관련,구매관련 전반적인 사항,"<p>안녕하세요 고객님, 오토플러스 고객센터 입니다.&nbsp;</p><p>문의주신 내용은 차량 담당매니저에게 전달하였습니다.&nbsp;</p><p>감사합니다.&nbsp;</p>",오후 7:57:26,hanmh1028,오후 12:59:50
